CAS_Number,logS,ID,CA_Number
,-0.66,NC(OCCCC)=O,592-35-8
,-0.66,CCOCCC,628-32-0
,-0.66,O=C(CC)OCC,105-37-3
,-0.68,Oc1cccc(C)c1,108-39-4
,-0.68,O=CNc1ccccc1,103-70-8
,-0.7,Oc1ccc(Cl)cc1,106-48-9
,-0.7,Oc1cccc(Cl)c1,108-43-0
,-0.7,Oc1ccc(C)cc1,106-44-5
,-0.7,CC(C)C(O)CC,565-67-3
,-0.71,OCCOc1ccccc1,122-99-6
,-0.72,CC(O)C(C)CC,565-60-6
,-0.72,CC(OCCC)=O,109-60-4
,-0.72,CC(C)(O)C(C)(C)C,594-83-2
,-0.72,Nc(cccc1)c1O,95-55-6
,-0.73,,120-07-0
,-0.74,O=C(C=C)OCC,140-88-5
,-0.74,Oc1ccc(N(=O)=O)cc1,100-02-7
,-0.74,O[NH]c1ccccc1,100-65-2
,-0.74,NC(CC(N)C(O)=O)=O,70-47-3
,-0.77,N#CC(c1ccccc1)OC(C(C(O)C2O)O)OC2COC(C(C(O)C3O)O)OC3CO,29883-15-6
,-0.77,CCOCCOCC,629-14-1
,-0.78,c12ccccc1[nH]nn2,95-14-7
,-0.8,Nc1ccc(O)cc1,123-30-8
,-0.8,O=C(NC1=O)N(C=C1)C,615-77-0
,-0.8,OC(CC)CCC,623-37-0
,-0.8,C=C(C)C(OC)=O,80-62-6
,-0.8,CC(C)(C)COC(=O)N,3124-46-7
,-0.82,O=C(OCC)CC(OCC)=O,105-53-3
,-0.82,c1ccco1,110-00-9
,-0.82,CCCC(OC)=O,623-42-7
,-0.83,C=CCS(SCC=C)=O,539-86-6
,-0.83,C=CC(CCC)=O,1629-60-3
,-0.84,O=C(O)c1cnccc1,59-67-6
,-0.85,CCCCC=O,110-62-3
,-0.85,CN(N=O)C(N)=O,684-93-5
,-0.85,CCOC=C,109-92-2
,-0.85,Cc1cc(N)ccc1,108-44-1
,-0.85,CCC(O)(CC)CC,597-49-9
,-0.85,OC(C(C(C(CO)O2)O)O)C2Oc1ccccc1CO,138-52-3
,-0.86,O=Cc1c(O)cccc1,90-02-8
,-0.87,Clc1nc(ncnc2)c2nc1,1125-84-4
,-0.88,CC(CC1)CCC1O,589-91-3
,-0.88,CC(C(C(C)=O)CCC)=O,1540-35-8
,-0.89,ClCBr,74-97-5
,-0.89,OC(Cc1ccccc1)=O,103-82-2
,-0.9,CC(NC(N)=O)=O,591-07-1
,-0.91,COc1nc(ncnc2)c2nc1,204443-27-6
,-0.92,CC(c1ccccc1)O,98-85-1
,-0.92,CC(C)(O)CC(C)C,625-06-9
,-0.96,O=C(CCC(OCC)=O)OCC,123-25-1
,-0.96,CC=CCC#N,16529-66-1
,-0.96,NC(c1ccccc1)=O,55-21-0
,-0.96,Oc1ccc(C=O)cc1,123-08-0
,-0.97,O=C(N(C)c2c1n(C)cn2)N(C)C1=O,58-08-2
,-0.98,CC(Nc1ccc(N)cc1)=O,122-80-5
,-0.99,O=C(C=C1)C=CC1=O,106-51-4
,-0.99,CCCCOC,628-28-4
,-1,CI,74-88-4
,-1,CCC(C)(O)CCC,597-96-6
,-1.03,O=C(Nc(cc1)ccc1O)C,103-90-2
,-1.04,c12ccccc1NCC2,496-15-1
,-1.07,O=C(NC=C1F)NC1=O,51-21-8
,-1.08,CC(C)(O)CCCC,625-23-0
,-1.09,Brc1ccc(O)cc1,106-41-2
,-1.09,CCBr,74-96-4
,-1.1,CC(C)OC(C)C,108-20-3
,-1.1,O=C(O)COc1ccccc1,122-59-8
,-1.11,COc2ncc1nccnc1n2,102170-44-5
,-1.11,COc2c1nccnc1ncn2,30564-38-6
,-1.12,NCCc1ccc(O)cc1,51-67-2
,-1.13,OC(C(CC(C)CC1C)C1=O)CC(CC2=O)CC(N2)=O,66-81-9
,-1.14,CC(C)CCCO,626-89-1
,-1.14,NC1=NC(NC=C1)=O,71-30-7
,-1.16,c12c(cccc2)nco1,273-53-0
,-1.16,S(=O)(CCCl)CCCl,5819-08-9
,-1.17,CCC(CO)CC,97-95-0
,-1.17,ClC(Cl)(Cl),67-66-3
,-1.19,Oc1ccc(C)cc1C,105-67-9
,-1.19,O=C(c1ccccc1),100-52-7
,-1.2,OCc1ccc(C)cc1,589-18-4
,-1.2,O=C(OC)C(C2C(OC)=O)C1CC2C=C1,5826-73-3
,-1.21,O=C(C=C)OCC(C)C,106-63-8
,-1.22,CC(C)(NCC(c1cc(CO)c(O)cc1)O)C,18559-94-9
,-1.22,CC(C)C(O)C(C)C,600-36-2
,-1.23,O=C(O)C(N)Cc1c[nH]c2c1cccc2,73-22-3
,-1.23,O=S(NC(C)=O)(c1ccc(N)cc1)=O,144-80-9
,-1.24,CC(OCCCC)=O,123-86-4
,-1.24,CCCCCCO,111-27-3
,-1.25,O=C(C(N1)=O)C(NC1=O)=O,50-71-5
,-1.27,CC(C)(C)C(C)(O)CC,7294-05-5
,-1.28,CC(c1ccccc1)=O,98-86-2
,-1.28,CC(c1cc(N)ccc1)=O,99-03-6
,-1.28,CCCC(OCC)=O,105-54-4
,-1.29,CC(Cl)Cl,75-34-3
,-1.3,CC(Nc1ccc(OC)cc1)=O,51-66-1
,-1.3,c1(cccn2)c2cccc1,91-22-5
,-1.3,CCCCCC=O,66-25-1
,-1.32,BrCCCl,107-04-0
,-1.33,CC(Nc1ccccc1)=O,103-84-4
,-1.33,CC(CCC(C)C)=O,110-12-3
,-1.36,CCc(cccc1)c1O,90-00-6
,-1.36,CCCCC(OC)=O,624-24-8
,-1.37,N=C(N)NN(=O)=O,556-88-7
,-1.37,Clc1cc(N)ccc1,108-42-9
,-1.38,OCCCc1ccccc1,122-97-4
,-1.38,CC(O)CCC(C)C,627-59-8
,-1.39,O=C(C(CC)(CC)C(N1)=O)NC1=O,57-44-3
,-1.4,Cc1cc(C)cc(O)c1,108-68-9
,-1.4,O=C(c(cc1)ccc1N)OCCN(CC)CC,59-46-1
,-1.4,CC(Nc(cccc1)c1Cl)=O,533-17-5
,-1.4,CCCC(O)CCC,589-55-9
,-1.41,O=C(O)CCc1ccccc1,501-52-0
,-1.42,CC(CCCCC)=O,110-43-0
,-1.42,c1(c2ncccc2)ccccn1,366-18-7
,-1.43,Cc(c(O)ccc1)c1C,526-75-0
,-1.44,CCCCNCCCC,111-92-2
,-1.45,c1cccs1,110-02-1
,-1.45,c1(ccnc2)c2cccc1,119-65-3
,-1.47,O=C(O)c1cscc1,88-13-1
,-1.47,ClCCC,540-54-5
,-1.48,ClC(Cl)CCl,79-00-5
,-1.49,O=Cc1ccc(OC)cc1,123-11-5
,-1.5,S(=O)(=O)(CCCl)CCCl,471-03-4
,-1.51,O=C(O)CNC(N)=N,352-97-6
,-1.52,c1(cccc2)c2[nH]cc1,120-72-9
,-1.52,OCC(C)(C)CCC,2370-12-9
,-1.52,OC(c1ccccc1N)=O,118-92-3
,-1.52,OC(C=C4)C2C5(C4C(N(C)CC5)C3)c1c3ccc(OC)c1O2,76-57-3
,-1.53,NCc1ccccc1,100-46-9
,-1.54,c1(c2ccncc2)ccncc1,553-26-4
,-1.54,Oc1cc(C)ccc1C,95-87-4
,-1.55,OCCCC(C)(C)C,3121-79-7
,-1.55,OC(c1ccccc1)=O,65-85-0
,-1.55,CN1CCCCC1C(Nc2c(C)cccc2C)=O,96-88-8
,-1.55,CSc1nc(ncnc2)c2nc1,204443-30-1
,-1.55,Clc(cc(Cl)cc1)c1O,120-83-2
,-1.55,CCCCCC(O)C,543-49-7
,-1.56,CCCCC(=O)CC(=O)C,14090-87-0
,-1.56,Oc1c(OC)cc(CC=C)cc1,97-53-0
,-1.56,CN2C(NC(N1)=C(C2=O)NC1=O)=O,708-79-2
,-1.57,Cc(cc(O)cc1)c1Cl,59-50-7
,-1.57,CNC(Oc1c(C2OCCO2)cccc1)=O,6988-21-2
,-1.58,CC(Nc(cc1)ccc1C=O)=O,122-85-0
,-1.59,O=C(c1ccc(N)cc1)OC,619-45-4
,-1.6,C1(c2ccccc2)CO1,96-09-3
,-1.6,CC(Cl)CCl,78-87-5
,-1.6,O=C(CC(C)=O)CC(C)C,3002-23-1
,-1.6,Cc1c(N(C(C(OC)=O)C)C(COC)=O)c(C)ccc1,57837-19-1
,-1.6,FC(F)(F)c1c(C(O)=O)cccc1,433-97-6
,-1.6,OCC(C)CC(C)C,6305-71-1
,-1.6,O=C(Nc1ccccc1)N(C)C,101-42-8
,-1.61,NS(=O)(c(cc1)ccc1NC(C)=O)=O,121-61-9
,-1.61,OC(C2OC(C)=O)CNC2Cc1ccc(OC)cc1,22862-76-6
,-1.62,CNC(ON=C(C(C)(C)C)CSC)=O,39196-18-4
,-1.62,O=C(N(CC=C)CC=C)C(Cl)Cl,37764-25-3
,-1.62,ClCCCCl,142-28-9
,-1.62,CCCOCCC,111-43-3
,-1.63,O=Cc1cc(OCO2)c2cc1,120-57-0
,-1.64,c1ccccc1,71-43-2
,-1.64,C=C(Cl)Cl,75-35-4
,-1.64,O=S(c1ccccc1C2=O)(N2)=O,81-07-2
,-1.64,CC2(CC1)CCC1C(O2)(C)C,470-82-6
,-1.64,O=C(N1)NC(C(CCCC)(CC)C1=O)=O,77-28-1
,-1.66,Clc1ccc(N)cc1,106-47-8
,-1.67,CC(COC(N)=O)(CCC)COC(N)=O,57-53-4
,-1.67,CC(OC1CCCCC1)=O,622-45-7
,-1.68,O=N(=O)c1cc(C(O)=O)ccc1,121-92-6
,-1.68,BrCCBr,106-93-4
,-1.7,O=C(O)c1c(OC)c(Cl)ccc1Cl,1918-00-9
,-1.7,CCNc1ccccc1,103-69-5
,-1.7,CCCCCCC=O,111-71-7
,-1.71,FC(F)(F)C(Cl)Br,151-67-7
,-1.71,O=C(N1)NC(C(C(C)C)(CC=C)C1=O)=O,77-02-1
,-1.72,CC(O)(C)CCCCC,625-25-2
,-1.72,CC(O)C(C)CCCC,31367-46-1
,-1.73,,106-34-3
,-1.73,BrCCC,106-94-5
,-1.74,Oc1ccccc1N(=O)=O,88-75-5
,-1.74,ClC(Cl)C(Cl)Cl,79-34-5
,-1.74,NS(=O)(c1ccc(C)cc1)=O,70-55-3
,-1.75,CCCCC(OCC)=O,539-82-2
,-1.76,CSc2ncc1nccnc1n2,16878-77-6
,-1.76,NC(c(cccc1)c1O)=O,65-45-2
,-1.76,Cc1c(NC(CN(CC)CC)=O)c(C)ccc1,137-58-6
,-1.77,CC=CC=CC(O)=O,110-44-1
,-1.77,NC(Nc1ccccc1)=S,103-85-5
,-1.77,O=C(CS1)NC1=S,141-84-4
,-1.78,Oc1ccc(C(OC)=O)cc1,99-76-3
,-1.78,O=C(OCCC)c1cc(O)c(O)c(O)c1,121-79-9
,-1.78,CC(Nc(cc1)ccc1F)=O,351-83-7
,-1.8,O=N(=O)c1ccccc1,98-95-3
,-1.8,O=C(NC)Oc1cc(C)ccc1,1129-41-5
,-1.8,Fc1ccccc1,462-06-6
,-1.81,CCCCCCCO,111-70-6
,-1.82,Oc1ccccc1C(O)=O,69-72-7
,-1.83,O=C(c1ccccc1)CC,93-55-0
,-1.83,CC(N=C1SC(S(N)(=O)=O)=NN1C)=O,554-57-4
,-1.84,CC15C(O)C=CC2(OC5=O)C1C(C(O)=O)C3(CC4=C)C2CCC4(O)C3,77-06-5
,-1.85,CCCCOCCCC,142-96-1
,-1.85,COc1ccccc1,100-66-3
,-1.86,O=C(O)C(CCC)CCC,99-66-1
,-1.87,O=C(C=C3)CC(C34CC2)(CCN4C)c1c2ccc(OC)c1O,467-98-1
,-1.87,O=C1CC(C)CCC1,591-24-2
,-1.89,C12CCCCN1CC(C(CCCC4)N4C3)CC23,90-39-1
,-1.89,O=C(OCCCCC)C,628-63-7
,-1.89,O=C(OCC)C1(c2ccccc2)CCN(C)CC1,57-42-1
,-1.89,COc1c(C2=O)c(CO2)ccc1OC,569-31-3
,-1.89,O=C(O)CCCCCCCC(O)=O,123-99-9
,-1.9,ClC(Br)(Br),124-48-1
,-1.91,C(Br)(Br)Br,75-25-2
,-1.91,CN1C2CCC1CC(OC(C(CO)c3ccccc3)=O)C2,101-31-5
,-1.91,CC(Nc(cc1)ccc1OC(C)=O)=O,2623-33-8
,-1.92,CCCC(OCCC)=O,105-66-8
,-1.92,O=C(c(c(C=O)ccc1OC)c1OC)O,519-05-1
,-1.92,NC(OCCCCCC)=O,2114-20-7
,-1.92,,121-69-7
,-1.92,O=C(CC)Nc1ccccc1,620-71-3
,-1.92,CC(OCCC(C)C)=O,123-92-2
,-1.93,O=C(C(NC1=O)=CC(N1)=O)O,65-86-1
,-1.93,,27134-24-3
,-1.94,O=S(c1ccc(N)cc1)(Nc2nnc(CC)s2)=O,94-19-9
,-1.94,Cc(cc2)cc1c2ccc(C)n1,93-37-8
,-1.95,CN(C)c1nc(C)c(C)c(OC(N(C)C)=O)n1,23103-98-2
,-1.96,COc(cccc1)c1N(=O)=O,91-23-6
,-1.96,O=C(O)C=Cc1c[nH]cn1,104-98-3
,-1.96,CC(Cl)CC,78-86-4
,-1.96,Nc1ccccc1N(=O)=O,88-74-4
,-1.97,C1=CCC=CC1,628-41-1
,-1.99,Oc(cc2)cc1c2CCCC1,1125-78-6
,-2,CC(Cl)(Cl)Cl,71-55-6
,-2.02,Cc1ccccc1S(N)(=O)=O,88-19-7
,-2.03,ClCCCC,109-69-3
,-2.05,CC(CCCCCC)=O,111-13-7
,-2.05,O=C(NC)Oc(cccc1)c1OC(C)C,114-26-1
,-2.06,O=S(c1ccc(C(C)=O)cc1)(NC(NC2CCCCC2)=O)=O,968-81-0
,-2.06,C=C(C(O)=O)c1ccccc1,492-38-6
,-2.06,CC1=CCC(C(C)=C)CC1=O,2244-16-8
,-2.06,O=C(c(cccc1)c1C)O,118-90-1
,-2.07,c1ccc2C(O)N3CCC(O)C3=Nc2c1,486-64-6
,-2.07,OC(Cc1c[nH]c2c1cccc2)=O,87-51-4
,-2.08,CC(c1cc(O)c(C)cc1)C,499-75-2
,-2.09,CC(Nc1cc(C)ccc1)=O,537-92-8
,-2.09,O=C(N(C)C)Oc1cc(C)nn1c2ccccc2,87-47-8
,-2.09,CC(I)C,75-30-9
,-2.09,C=CCC=C,591-93-5
,-2.09,CC(O)CCCCCC,123-96-6
,-2.09,O=C(C5)N(C4C2(CC7)C(N7C6)CC3C6=CCOC5C34)c1c2cc(OC)c(OC)c1,357-57-3
,-2.1,OCc(c(Cl)ccc1)c1Cl,15258-73-8
,-2.11,OCC(CC)CCCC,104-76-7
,-2.11,OC(c1ccccc1C(O)=O)=O,88-99-3
,-2.12,CN1C2CCC1CC(OC(C(CO)c3ccccc3)=O)C2,51-55-8
,-2.12,Sc1ccccc1,108-98-5
,-2.12,Nc1ncnc2c1nc[nH]2,73-24-5
,-2.13,CN(CN(C)CS1)C1=S,533-74-4
,-2.14,O=C(c1cc(C)ccc1)O,99-04-7
,-2.14,,59-31-4
,-2.15,O=C1NCCN1C(NCC(C)C)=O,30979-48-7
,-2.15,C1=CC=CC=CC1,544-25-2
,-2.16,O=C(O)COc(cccc1)c1Cl,614-61-9
,-2.16,Oc(cc2)cc1c2nccc1,580-16-5
,-2.17,O=C(N1)NC(C(C2=CCCCC2)(CC)C1=O)=O,52-31-3
,-2.17,NC(Nc1ccc(OCC)cc1)=O,150-69-6
,-2.18,,115-43-5
,-2.18,O=S(NC(NCCCC)=O)(c(cc1)ccc1N)=O,339-43-5
,-2.18,ClC(Cl)(Cl)CCl,630-20-6
,-2.19,O=N(c1ccc(C=NO)o1)=O,6236-05-1
,-2.19,Nc1cccc(N(=O)=O)c1,99-09-2
,-2.21,O=C(N1)NC(C(C(C)C)(CC)C1=O)=O,76-76-6
,-2.21,Cc1ccccc1,108-88-3
,-2.21,OC(c1ccccc1)(c2ccccc2)C(O)=O,76-93-7
,-2.22,Oc2cccc1ccccc12,90-15-3
,-2.22,Cc1cc(O)c(C(C)C)cc1,89-83-8
,-2.22,OC(C(C)Oc1ccccc1Cl)=O,76466-16-5
,-2.22,O=N(OCC(ON(=O)=O)CON(=O)=O)=O,55-63-0
,-2.23,O=C(N1C)NC(C(CC)(CC)C1=O)=O,50-11-3
,-2.23,O=C(O)COc(ccc(Cl)c1)c1C,94-74-6
,-2.24,CCCCc(c(O)nc(N(C)C)n1)c1C,5221-53-4
,-2.24,Cc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,515-64-0
,-2.24,CC(Nc(cccc1)c1O)=O,614-80-2
,-2.26,S=C(NC=C1)NC1=O,141-90-2
,-2.28,Oc2cc1ccccc1cc2,135-19-3
,-2.28,O=C(NC1=O)C(N(=O)=O)C(N1)=O,#28176-10-5
,-2.29,ICCC,107-08-4
,-2.3,CCCCCCCC(O)=O,124-07-2
,-2.3,S=P(OCC)(OCC)Oc1ccc(S(C)=O)cc1,115-90-2
,-2.31,Fc1c(F)c(F)cc(F)c1,2367-82-0
,-2.31,ClC(Cl)(Cl)Cl,56-23-5
,-2.32,O=C(OCC)c1ccccc1,93-89-0
,-2.32,CC1(C)C2CCC1(C)C(O)C2,507-70-0
,-2.32,Nc1ccc(S(=O)(Nc2ccnn2c3ccccc3)=O)cc1,526-08-9
,-2.33,O=C(c(cc1)ccc1N)OCCC,94-12-2
,-2.33,O=C(NN)Nc1ccccc1,537-47-3
,-2.34,Oc1c(cccc1)C(OC)=O,119-36-8
,-2.34,Oc(c(Cl)cc(Cl)c1)c1Cl,88-06-2
,-2.34,,77-21-4
,-2.35,Nc1c(CC)cccc1CC,579-66-8
,-2.35,O=C(OCC)c1ccccc1C(OCC)=O,84-66-2
,-2.35,O=C(c1ccc(O)cc1)OCC,120-47-8
,-2.36,CCCCCCCC=O,124-13-0
,-2.36,C#CCCCC,693-02-7
,-2.36,O=C(NC1CCCCCCC1)N(C)C,2163-69-1
,-2.36,CSc2c1nccnc1ncn2,6966-78-5
,-2.36,S=C2N=CC1=C(N2)N=CC=N1,16878-76-5
,-2.37,CCOc1ccc(NC(C)=O)cc1,62-44-2
,-2.37,CCCCBr,109-65-9
,-2.38,Clc1ccccc1,108-90-7
,-2.38,BrC(CCl)CBr,96-12-8
,-2.38,N#Cc1ccccc1C#N,91-15-6
,-2.38,Oc1c(cn[nH]2)c2ncn1,315-30-0
,-2.39,ClCc1ccccc1,100-44-7
,-2.39,Oc(cccc2)c2c1ccccc1,90-43-7
,-2.39,CSc1ccccc1,100-68-5
,-2.4,ClC(Cl)CCC,541-33-3
,-2.41,O=C(c(cc1)ccc1OC)OC,121-98-2
,-2.41,Cc1nnc(NS(=O)(c2ccc(N)cc2)=O)s1,144-82-1
,-2.41,O=N(c1ccc(OC)cc1)=O,100-17-4
,-2.42,Cc1c[nH]c2c1cccc2,83-34-1
,-2.43,CC(C)CBr,78-77-3
,-2.43,S=C(NC(C)=C1)NC1=O,56-04-2
,-2.43,Nc1ccc(S(Nc2nccs2)(=O)=O)cc1,72-14-0
,-2.43,O=C(C(S(=O)(CCO2)=O)=C2C)Nc1ccccc1,5259-88-1
,-2.44,O=N(c1cc(C)ccc1)=O,99-08-1
,-2.44,O=S(c1ccc(N)cc1)(Nc2nc(C)c(C)o2)=O,729-99-7
,-2.45,n(cc(c(n1)O)C)c1S,636-26-0
,-2.45,CC(C(O)=O)Oc(ccc(Cl)c1)c1Cl,120-36-5
,-2.47,O=C(O)c1c(Cl)c(N)cc(Cl)c1,133-90-4
,-2.48,O=C(N1C(C)(C)C)C(Cl)=C(C)NC1=O,5902-51-2
,-2.48,OC(C=Cc1ccccc1)=O,621-82-9
,-2.48,O=C(CCl)N(C(C)C)c1ccccc1,1918-16-7
,-2.51,Clc1c(OCC(O)=O)ccc(Cl)c1,94-75-7
,-2.52,,127-33-3
,-2.52,CC(C(C(NC1=O)=O)(C(N1)=O)CC)CCC,76-74-4
,-2.53,COc1c(O)cc(Cl)c(Cl)c1,2460-49-3
,-2.54,CC=CCC,646-04-8
,-2.54,ClCc(cc1)ccc1F,352-11-4
,-2.54,Oc1c(cccn2)c2ccc1,578-67-6
,-2.54,COc1cc(NS(=O)(c2ccc(cc2)N)=O)nc(C)n1,3772-76-7
,-2.55,Clc1cc(C)c(OC(C)C(O)=O)cc1,93-65-2
,-2.56,CC1=C(C(Nc2ccccc2)=O)CCCO1,24691-76-7
,-2.57,O=C(N1)NC(C(CCC(C)C)(CC)C1=O)=O,57-43-2
,-2.58,COc1cnc(NS(=O)(c2ccc(cc2)N)=O)nc1,651-06-9
,-2.58,CC(CCCCCCC)=O,821-55-6
,-2.59,C1=CCCCC1,110-83-8
,-2.59,OC(c1cc(Cl)ccc1)=O,535-80-8
,-2.59,CCc1cccs1,872-55-9
,-2.6,,91-75-8
,-2.6,C(Cl)(Cl)C(Cl)(Cl)Cl,76-01-7
,-2.6,COc1ccc(C(C2CC2)(c3cncnc3)O)cc1,12771-68-5
,-2.61,OC(CN1C(Sc2c1c(Cl)ccc2)=O)=O,3813-05-6
,-2.62,O=S(Nc1noc(C)c1)(c2ccc(N)cc2)=O,723-46-6
,-2.62,NC(OCCCCCCC)=O,4248-20-8
,-2.62,O=S(c1c2cc(Cl)c(S(N)(=O)=O)c1)(NCN2)=O,58-93-5
,-2.63,C12C(ON(=O)=O)COC1C(ON(=O)=O)CO2,87-33-2
,-2.63,O=C(c1ccc(N)cc1)CC,70-69-9
,-2.63,CC(Cl)CCC,625-29-6
,-2.64,C1CCCC1,287-92-3
,-2.64,CN(CCN(c2ncccc2)Cc1ccccc1)C,91-81-6
,-2.64,CN(C)CCN(c2ccccn2)Cc1cccs1,91-80-5
,-2.65,,86-87-3
,-2.68,CC(C)N2C(c1ccccc1NS2(=O)=O)=O,25057-89-0
,-2.68,C=CCCC=C,592-42-7
,-2.68,C=CCCC,109-67-1
,-2.68,,230-46-6
,-2.69,CC(Nc1ccc(N(=O)=O)cc1)=O,104-04-1
,-2.69,ClC(C(C)(Cl)C)C,507-45-9
,-2.7,CC(Cl)C(Cl)C,7581-97-7
,-2.7,Nc(cc2)ccc2c1ccc(N)cc1,92-87-5
