id,smiles,compound_class,compound_subclass,name,molecular_weight,formula,cas_number,created_at,updated_at,MolLogP,qed,ExactMolWt,fr_phenol,fr_methoxy,fr_lactone,fr_urea
15,COC1=C(O)C=CC(=C1)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Peonidin 3-O-glucoside,463.411,C22H23O11,6906-39-4,2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC,0.6850000000000003,0.2644652633638976,463.12348797608985,3,1,0,0
16,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(OC)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-rutinoside,609.553,C28H33O15,,2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC,-0.4632000000000004,0.15399301680678673,609.18139677609,3,1,0,0
17,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-rutinoside,579.5269999999999,C27H31O14,,2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC,-0.47180000000000055,0.16817585606318963,579.1708320920899,3,0,0,0
18,OC1=CC=C(C=C1)C1=[O+]C2=C(C=C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Pelargonidin,271.245,C15H11O5,7690-51-9,2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC,3.2033000000000005,0.5099675426448678,271.06009987209,3,0,0,0
19,OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C=C1,Flavonoids,Anthocyanins,Cyanidin,287.244,C15H11O6,13306-05-3,2004-11-22 00:00:00 UTC,2015-05-10 23:28:37 UTC,2.9089,0.34728749464519915,287.05501449209004,4,0,0,0
20,COC1=CC(=CC(OC)=C1O)C1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC(O)=CC2=[O+]1,Flavonoids,Anthocyanins,"Malvidin 3,5-O-diglucoside",655.578,C29H35O17,,2004-11-22 00:00:00 UTC,2015-05-10 23:28:37 UTC,-1.8333000000000004,0.11354549160679467,655.1868760800899,2,2,0,0
21,CC1OC(OCC2OC(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-glucosyl-rutinoside,757.6669999999999,C33H41O20,,2004-12-08 00:00:00 UTC,2015-05-10 23:28:37 UTC,-2.9419999999999997,0.07666871119450124,757.2185701320901,4,0,0,0
22,OC[C@H]1O[C@@H](O[C@H]2[C@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-sophoroside,595.526,C27H31O15,,2005-01-24 00:00:00 UTC,2015-05-10 23:28:37 UTC,-1.4994000000000012,0.13959270283396966,595.1657467120899,3,0,0,0
23,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC=C(O)C=C3)[C@]([H])(O[C@]3([H])OC(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-glucosyl-rutinoside,741.6669999999999,C33H41O19,,2005-01-24 00:00:00 UTC,2015-05-10 23:28:37 UTC,-2.6475999999999993,0.09970168627741505,741.2236555120901,3,0,0,0
24,[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-succinyl-glucoside),549.4580000000001,C25H25O14,,2005-01-25 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.7976999999999992,0.1102416418633973,549.1238819000898,4,0,0,0
25,[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-(6''-succinyl-glucoside),533.4580000000001,C25H25O13,,2005-01-25 00:00:00 UTC,2015-05-10 23:28:37 UTC,1.0920999999999987,0.1596371122267085,533.1289672800898,3,0,0,0
27,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,Flavonoids,Anthocyanins,Delphinidin 3-O-galactoside,465.384,C21H21O12,,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.08759999999999984,0.18523162177664174,465.1027525320899,5,0,0,0
28,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-glucoside,465.384,C21H21O12,,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.08759999999999984,0.18523162177664174,465.1027525320899,5,0,0,0
29,O[C@H]1CO[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-arabinoside,435.358,C20H19O11,,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.7266999999999999,0.21355821219855328,435.0921878480899,5,0,0,0
31,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1OC1OC(CO)C(O)C(O)C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Petunidin 3-O-galactoside,479.411,C22H23O12,,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.3905999999999992,0.1850932028087611,479.1184025960899,4,1,0,0
32,[H][C@@]1(CO)O[C@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-arabinoside,419.35900000000004,C20H19O10,,2002-08-22 11:51:47 UTC,2015-05-10 23:28:37 UTC,1.0211000000000001,0.23911783370777231,419.09727322808993,4,0,0,0
33,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Petunidin 3-O-glucoside,479.411,C22H23O12,6988-81-4,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.3905999999999992,0.1850932028087611,479.1184025960899,4,1,0,0
34,[H][C@]1(CO)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-galactoside,463.411,C22H23O11,,2004-11-19 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.6849999999999994,0.2644652633638976,463.1234879760899,3,1,0,0
35,[H][C@@]1(O)CO[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-arabinoside,449.385,C21H21O11,,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,1.0296999999999992,0.22319959931282124,449.1078379120899,4,1,0,0
36,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Malvidin 3-O-glucoside,493.43699999999995,C23H25O12,7228-78-6,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,0.6936000000000004,0.2383088465921715,493.1340526600899,3,2,0,0
37,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@H]1OC[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Malvidin 3-O-arabinoside,463.411,C22H23O11,,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,1.3327000000000002,0.3018217671558468,463.1234879760899,3,2,0,0
39,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Delphinidin 3-O-(6''-acetyl-glucoside),507.421,C23H23O13,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC,0.6583999999999994,0.13532440179223246,507.1133172160899,5,0,0,0
40,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-(6''-acetyl-galactoside),521.448,C24H25O13,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC,0.9613999999999989,0.1371992727219388,521.1289672800899,4,1,0,0
41,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-(6''-acetyl-galactoside),505.44800000000004,C24H25O12,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC,1.2557999999999987,0.2082625905376637,505.13405266008994,3,1,0,0
42,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-acetyl-glucoside),491.42199999999997,C23H23O12,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC,0.9527999999999994,0.15174690673060953,491.1184025960899,4,0,0,0
43,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Malvidin 3-O-(6''-acetyl-galactoside),535.474,C25H27O13,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC,1.264399999999999,0.1870306238205146,535.1446173440899,3,2,0,0
44,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(OC)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-(6''-acetyl-glucoside),521.448,C24H25O13,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC,0.9613999999999994,0.1371992727219388,521.1289672800898,4,1,0,0
46,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1OC(COC(C)=O)C(O)C(O)C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Malvidin 3-O-(6''-acetyl-glucoside),535.474,C25H27O13,,2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC,1.2643999999999993,0.1870306238205146,535.1446173440899,3,2,0,0
47,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-(6''-acetyl-glucoside),505.44800000000004,C24H25O12,,2005-03-29 00:00:00 UTC,2015-05-10 23:28:37 UTC,1.2557999999999991,0.2082625905376637,505.1340526600899,3,1,0,0
48,[H][C@]1(CO)O[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-arabinoside,403.35900000000004,C20H19O9,,2005-04-26 10:01:14 UTC,2015-05-10 23:28:37 UTC,1.3155,0.3543228251935447,403.10235860808996,3,0,0,0
49,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C(O)=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-rutinoside,611.525,C27H31O16,15674-58-5,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC,-1.0606000000000002,0.11705946903081015,611.1606613320898,5,0,0,0
50,[Cl-].OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-sambubioside,616.952,C26H29ClO15,,2005-01-28 11:35:21 UTC,2015-05-10 23:28:38 UTC,-4.150699999999996,0.09319301584205122,616.119497908,4,0,0,0
51,O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-(6''-malonyl-glucoside),519.432,C24H23O13,,2005-01-28 16:02:36 UTC,2015-05-10 23:28:38 UTC,0.7019999999999988,0.13015606584839262,519.1133172160899,3,0,0,0
52,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-(6''-p-coumaroyl-glucoside),609.554,C31H29O13,,2005-09-07 16:35:35 UTC,2015-05-10 23:28:38 UTC,2.6549000000000027,0.08723081041217404,609.16026740809,4,1,0,0
53,[H][C@]1(CO)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-xyloside,419.35900000000004,C20H19O10,,2005-02-04 16:35:08 UTC,2015-05-10 23:28:38 UTC,1.0211000000000001,0.23911783370777231,419.09727322808993,4,0,0,0
54,[Cl-].COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Malvidin 3-O-galactoside,528.89,C23H25ClO12,30113-37-2,2005-02-04 00:00:00 UTC,2015-05-10 23:28:38 UTC,-2.3024,0.16957721287382024,528.1034539199998,3,2,0,0
55,[H][C@@]1(O)CO[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-arabinoside,449.385,C21H21O11,,2005-02-04 16:48:54 UTC,2015-05-10 23:28:38 UTC,1.0296999999999992,0.22319959931282124,449.1078379120899,4,1,0,0
56,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(O)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-rutinoside,595.526,C27H31O15,,2005-04-26 14:03:55 UTC,2015-05-10 23:28:38 UTC,-0.7662,0.12411596179132374,595.1657467120899,4,0,0,0
57,[H][C@]1(CO)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Delphinidin 3-O-xyloside,435.358,C20H19O11,,2005-04-26 14:08:36 UTC,2015-05-10 23:28:38 UTC,0.7266999999999995,0.21272988459633654,435.0921878480899,5,0,0,0
58,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-(6''-p-coumaroyl-glucoside),625.554,C31H29O14,,2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC,2.360500000000003,0.06088074594150067,625.1551820280899,5,1,0,0
59,OC[C@H]1O[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-galactoside,433.385,C21H21O10,,2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC,0.6763999999999999,0.29015482062402764,433.11292329208993,3,0,0,0
60,[H][C@@]1(O)CO[C@@]([H])(O[C@@]2([H])[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC=C(O)C=C3)O[C@]([H])(CO)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-sambubioside,565.5,C26H29O14,,2005-04-26 14:59:33 UTC,2015-05-10 23:28:38 UTC,-0.8603000000000007,0.16568974483672486,565.1551820280899,3,0,0,0
61,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(OC2OCC(O)C(O)C2O)C(O)C1O,Flavonoids,Anthocyanins,Delphinidin 3-O-sambubioside,597.499,C26H29O16,,2005-04-26 15:00:58 UTC,2015-05-10 23:28:38 UTC,-1.4491000000000003,0.11454988290956425,597.1450112680899,5,0,0,0
62,CC1OC(OCC2OC(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)C(OC3OCC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-xylosyl-rutinoside,727.6410000000001,C32H39O19,,2005-04-26 15:16:30 UTC,2015-05-10 23:28:38 UTC,-2.3028999999999997,0.08571607604468814,727.20800544809,4,0,0,0
63,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=CC(O)=C2,Flavonoids,Anthocyanins,Vitisin A,561.4680000000001,C26H25O14,142449-89-6,2005-09-08 12:26:42 UTC,2015-05-10 23:28:38 UTC,1.4324000000000003,0.15876811272435642,561.1238819000898,2,2,0,0
64,O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-(6''-p-coumaroyl-glucoside),611.5269999999999,C30H27O14,,2005-09-08 13:42:36 UTC,2015-05-10 23:28:38 UTC,2.0575000000000014,0.06293754852919212,611.1395319640899,6,0,0,0
65,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(O)C=C1)=CC(O)=C2,Flavonoids,Anthocyanins,Pigment A,609.554,C31H29O13,65445-21-8,2005-09-08 13:58:51 UTC,2015-05-10 23:28:38 UTC,3.1068000000000016,0.13278662660802804,609.1602674080898,3,2,0,0
68,OC1C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-p-coumaroyl-glucoside),595.528,C30H27O13,,2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC,2.351900000000002,0.06667145226738838,595.1446173440899,5,0,0,0
69,OCC1OC(OC2=C3C=C(OC4OC(CO)C(O)C(O)C4OC4OCC(O)C(O)C4O)C(=[O+]C3=CC(O)=C2)C2=CC=C(O)C(O)=C2)C(O)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-sambubioside 5-O-glucoside,743.64,C32H39O20,,2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC,-3.6815999999999973,0.07411211729278006,743.20292006809,3,0,0,0
70,O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC(O)=C(O)C=C2)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-caffeoyl-glucoside),611.5269999999999,C30H27O14,,2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC,2.0575000000000023,0.06293754852919212,611.1395319640899,6,0,0,0
71,OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,"Cyanidin 3,5-O-diglucoside",611.525,C27H31O16,,2005-04-26 00:00:00 UTC,2015-05-10 23:28:38 UTC,-2.1449000000000007,0.1004190515910788,611.16066133209,3,0,0,0
72,[H][C@]1(CO)O[C@@]([H])(OC2=C3C=C(OC4=CC(O)=CC([O+]=C2C2=CC(OC)=C(O)C(OC)=C2)=C34)C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Pinotin A,625.554,C31H29O14,,2005-10-03 13:05:45 UTC,2015-05-10 23:28:38 UTC,2.8124000000000025,0.09623568490955693,625.1551820280899,4,2,0,0
73,OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,"Delphinidin 3,5-O-diglucoside",627.525,C27H31O17,,2005-10-03 15:15:26 UTC,2015-05-10 23:28:38 UTC,-2.4393000000000016,0.09564818470718368,627.1555759520899,4,0,0,0
