id,smiles,compound_class,compound_subclass,name,molecular_weight,formula,cas_number,created_at,updated_at
17,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-rutinoside,579.527,C27H31O14,"",2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC
18,OC1=CC=C(C=C1)C1=[O+]C2=C(C=C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Pelargonidin,271.245,C15H11O5,7690-51-9,2004-11-19 00:00:00 UTC,2015-05-10 23:28:36 UTC
19,OC1=CC(O)=C2C=C(O)C(=[O+]C2=C1)C1=CC(O)=C(O)C=C1,Flavonoids,Anthocyanins,Cyanidin,287.244,C15H11O6,13306-05-3,2004-11-22 00:00:00 UTC,2015-05-10 23:28:37 UTC
20,COC1=CC(=CC(OC)=C1O)C1=C(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)C=C2C(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)=CC(O)=CC2=[O+]1,Flavonoids,Anthocyanins,"Malvidin 3,5-O-diglucoside",655.578,C29H35O17,"",2004-11-22 00:00:00 UTC,2015-05-10 23:28:37 UTC
21,CC1OC(OCC2OC(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)C(OC3OC(CO)C(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-glucosyl-rutinoside,757.667,C33H41O20,"",2004-12-08 00:00:00 UTC,2015-05-10 23:28:37 UTC
22,OC[C@H]1O[C@@H](O[C@H]2[C@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C=C3)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-sophoroside,595.526,C27H31O15,"",2005-01-24 00:00:00 UTC,2015-05-10 23:28:37 UTC
23,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC=C(O)C=C3)[C@]([H])(O[C@]3([H])OC(CO)[C@@]([H])(O)[C@]([H])(O)[C@@]3([H])O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-glucosyl-rutinoside,741.667,C33H41O19,"",2005-01-24 00:00:00 UTC,2015-05-10 23:28:37 UTC
24,[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-succinyl-glucoside),549.458,C25H25O14,"",2005-01-25 00:00:00 UTC,2015-05-10 23:28:37 UTC
25,[H][C@]1(COC(=O)CCC(O)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-(6''-succinyl-glucoside),533.458,C25H25O13,"",2005-01-25 00:00:00 UTC,2015-05-10 23:28:37 UTC
27,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(O)C(O)C1O,Flavonoids,Anthocyanins,Delphinidin 3-O-galactoside,465.384,C21H21O12,"",2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
28,OC[C@H]1O[C@@H](OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-glucoside,465.384,C21H21O12,"",2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
29,O[C@H]1CO[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-arabinoside,435.358,C20H19O11,"",2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
31,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1OC1OC(CO)C(O)C(O)C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Petunidin 3-O-galactoside,479.411,C22H23O12,"",2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
32,[H][C@@]1(CO)O[C@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-arabinoside,419.359,C20H19O10,"",2002-08-22 11:51:47 UTC,2015-05-10 23:28:37 UTC
33,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Petunidin 3-O-glucoside,479.411,C22H23O12,6988-81-4,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
34,[H][C@]1(CO)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-galactoside,463.411,C22H23O11,"",2004-11-19 00:00:00 UTC,2015-05-10 23:28:37 UTC
35,[H][C@@]1(O)CO[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-arabinoside,449.385,C21H21O11,"",2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
36,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Malvidin 3-O-glucoside,493.437,C23H25O12,7228-78-6,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
37,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@H]1OC[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Malvidin 3-O-arabinoside,463.411,C22H23O11,"",2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
39,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Delphinidin 3-O-(6''-acetyl-glucoside),507.421,C23H23O13,"",2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC
40,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-(6''-acetyl-galactoside),521.448,C24H25O13,"",2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC
41,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-(6''-acetyl-galactoside),505.448,C24H25O12,"",2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC
42,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-acetyl-glucoside),491.422,C23H23O12,"",2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC
43,[H][C@]1(COC(C)=O)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Malvidin 3-O-(6''-acetyl-galactoside),535.474,C25H27O13,"",2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC
44,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(OC)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-(6''-acetyl-glucoside),521.448,C24H25O13,"",2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC
46,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C(C=C1OC1OC(COC(C)=O)C(O)C(O)C1O)C(O)=CC(O)=C2,Flavonoids,Anthocyanins,Malvidin 3-O-(6''-acetyl-glucoside),535.474,C25H27O13,"",2005-03-25 11:36:49 UTC,2015-05-10 23:28:37 UTC
47,[H][C@]1(COC(C)=O)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-(6''-acetyl-glucoside),505.448,C24H25O12,"",2005-03-29 00:00:00 UTC,2015-05-10 23:28:37 UTC
48,[H][C@]1(CO)O[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-arabinoside,403.359,C20H19O9,"",2005-04-26 10:01:14 UTC,2015-05-10 23:28:37 UTC
49,C[C@@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C(O)=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-rutinoside,611.525,C27H31O16,15674-58-5,2005-01-27 00:00:00 UTC,2015-05-10 23:28:37 UTC
50,[Cl-].OC[C@H]1O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O)[C@H]2O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-sambubioside,616.952,C26H29ClO15,"",2005-01-28 11:35:21 UTC,2015-05-10 23:28:38 UTC
51,O[C@@H]1[C@@H](COC(=O)CC(O)=O)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-(6''-malonyl-glucoside),519.432,C24H23O13,"",2005-01-28 16:02:36 UTC,2015-05-10 23:28:38 UTC
52,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(OC)=C(O)C=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-(6''-p-coumaroyl-glucoside),609.554,C31H29O13,"",2005-09-07 16:35:35 UTC,2015-05-10 23:28:38 UTC
53,[H][C@]1(CO)O[C@@]([H])(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(O)=C(O)C=C2)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-xyloside,419.359,C20H19O10,"",2005-02-04 16:35:08 UTC,2015-05-10 23:28:38 UTC
54,[Cl-].COC1=CC(=CC(OC)=C1O)C1=[O+]C2=CC(O)=CC(O)=C2C=C1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Malvidin 3-O-galactoside,528.89,C23H25ClO12,30113-37-2,2005-02-04 00:00:00 UTC,2015-05-10 23:28:38 UTC
55,[H][C@@]1(O)CO[C@]([H])(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Peonidin 3-O-arabinoside,449.385,C21H21O11,"",2005-02-04 16:48:54 UTC,2015-05-10 23:28:38 UTC
56,[H][C@@]1(C)O[C@@]([H])(OC[C@@]2([H])O[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC(O)=C(O)C=C3)[C@]([H])(O)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-rutinoside,595.526,C27H31O15,"",2005-04-26 14:03:55 UTC,2015-05-10 23:28:38 UTC
57,[H][C@]1(CO)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Delphinidin 3-O-xyloside,435.358,C20H19O11,"",2005-04-26 14:08:36 UTC,2015-05-10 23:28:38 UTC
58,[H][C@]1(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Petunidin 3-O-(6''-p-coumaroyl-glucoside),625.554,C31H29O14,"",2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC
59,OC[C@H]1O[C@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@H]1O,Flavonoids,Anthocyanins,Pelargonidin 3-O-galactoside,433.385,C21H21O10,"",2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC
60,[H][C@@]1(O)CO[C@@]([H])(O[C@@]2([H])[C@@]([H])(OC3=CC4=C(C=C(O)C=C4O)[O+]=C3C3=CC=C(O)C=C3)O[C@]([H])(CO)[C@@]([H])(O)[C@]2([H])O)[C@]([H])(O)[C@@]1([H])O,Flavonoids,Anthocyanins,Pelargonidin 3-O-sambubioside,565.5,C26H29O14,"",2005-04-26 14:59:33 UTC,2015-05-10 23:28:38 UTC
61,OCC1OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)C(OC2OCC(O)C(O)C2O)C(O)C1O,Flavonoids,Anthocyanins,Delphinidin 3-O-sambubioside,597.499,C26H29O16,"",2005-04-26 15:00:58 UTC,2015-05-10 23:28:38 UTC
62,CC1OC(OCC2OC(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)C(OC3OCC(O)C(O)C3O)C(O)C2O)C(O)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-xylosyl-rutinoside,727.641,C32H39O19,"",2005-04-26 15:16:30 UTC,2015-05-10 23:28:38 UTC
63,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C(O)=O)=CC(O)=C2,Flavonoids,Anthocyanins,Vitisin A,561.468,C26H25O14,142449-89-6,2005-09-08 12:26:42 UTC,2015-05-10 23:28:38 UTC
64,O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC=C(O)C=C2)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-(6''-p-coumaroyl-glucoside),611.527,C30H27O14,"",2005-09-08 13:42:36 UTC,2015-05-10 23:28:38 UTC
65,COC1=CC(=CC(OC)=C1O)C1=[O+]C2=C3C(OC(=CC3=C1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C1=CC=C(O)C=C1)=CC(O)=C2,Flavonoids,Anthocyanins,Pigment A,609.554,C31H29O13,65445-21-8,2005-09-08 13:58:51 UTC,2015-05-10 23:28:38 UTC
68,OC1C(COC(=O)\C=C\C2=CC=C(O)C=C2)OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-p-coumaroyl-glucoside),595.528,C30H27O13,"",2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC
69,OCC1OC(OC2=C3C=C(OC4OC(CO)C(O)C(O)C4OC4OCC(O)C(O)C4O)C(=[O+]C3=CC(O)=C2)C2=CC=C(O)C(O)=C2)C(O)C(O)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-sambubioside 5-O-glucoside,743.64,C32H39O20,"",2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC
70,O[C@@H]1[C@@H](COC(=O)\C=C\C2=CC(O)=C(O)C=C2)O[C@@H](OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC(O)=C(O)C=C2)[C@H](O)[C@H]1O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-caffeoyl-glucoside),611.527,C30H27O14,"",2005-04-26 14:28:39 UTC,2015-05-10 23:28:38 UTC
71,OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)C2=CC(O)=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,"Cyanidin 3,5-O-diglucoside",611.525,C27H31O16,"",2005-04-26 00:00:00 UTC,2015-05-10 23:28:38 UTC
72,[H][C@]1(CO)O[C@@]([H])(OC2=C3C=C(OC4=CC(O)=CC([O+]=C2C2=CC(OC)=C(O)C(OC)=C2)=C34)C2=CC=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Pinotin A,625.554,C31H29O14,"",2005-10-03 13:05:45 UTC,2015-05-10 23:28:38 UTC
73,OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)C2=CC(O)=C(O)C(O)=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,"Delphinidin 3,5-O-diglucoside",627.525,C27H31O17,"",2005-10-03 15:15:26 UTC,2015-05-10 23:28:38 UTC
74,[Cl-].OC[C@H]1O[C@@H](OC2=CC(O)=CC3=[O+]C(=C(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C23)C2=CC=C(O)C=C2)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,"Pelargonidin 3,5-O-diglucoside",630.979,C27H31ClO15,"",2005-10-03 15:17:54 UTC,2015-05-10 23:28:38 UTC
75,[H][C@]1(COC(=O)\C=C\C2=CC(O)=C(O)C=C2)OC(OC2=CC3=C(C=C(O)C=C3O)[O+]=C2C2=CC(OC)=C(O)C(OC)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Malvidin 3-O-(6''-caffeoyl-glucoside),655.58,C32H31O15,"",2005-10-06 11:30:46 UTC,2015-05-10 23:28:38 UTC
76,OC1C(O)C(COC(=O)C(=O)OC(=O)C([O-])=O)OC(OC2=CC3=C(O)C=C(O)C=C3[O+]=C2C2=CC=C(O)C(O)=C2)C1O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-dioxalyl-glucoside),592.416,C25H20O17,"",2005-10-06 16:29:06 UTC,2015-05-10 23:28:38 UTC
83,OC[C@H]1O[C@@H](OC[C@H]2O[C@@H](OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC(O)=C(O)C(O)=C3)[C@H](O)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O,Flavonoids,Anthocyanins,Delphinidin 3-O-glucosyl-glucoside,627.525,C27H31O17,"",2006-06-20 15:23:02 UTC,2015-05-10 23:28:39 UTC
84,[H][C@]1(CO)O[C@@]([H])(O[C@@]2([H])[C@]([H])(O)[C@@]([H])(COC(=O)CC(O)=O)O[C@@]([H])(OC3=CC4=C(O)C=C(O)C=C4[O+]=C3C3=CC=C(O)C(O)=C3)[C@]2([H])O)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Cyanidin 3-O-(6''-malonyl-3''-glucosyl-glucoside),697.572,C30H33O19,"",2006-06-20 00:00:00 UTC,2015-05-10 23:28:39 UTC
95,[H][C@]1(COC(=O)\C=C\C2=CC(OC)=C(O)C=C2)O[C@@]([H])(OC2=C([O+]=C3C=C(O)C=C(O)C3=C2)C2=CC(O)=C(O)C(O)=C2)[C@]([H])(O)[C@@]([H])(O)[C@]1([H])O,Flavonoids,Anthocyanins,Delphinidin 3-O-feruloyl-glucoside,641.553,C31H29O15,"",2007-03-23 00:00:00 UTC,2015-05-10 23:28:39 UTC
96,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=C1OC1OC(CO)C(O)C(O)C1O)C(OC1OC(CO)C(O)C(O)C1O)=CC(O)=C2,Flavonoids,Anthocyanins,"Petunidin 3,5-O-diglucoside",641.551,C28H33O17,"",2007-03-23 00:00:00 UTC,2015-05-10 23:28:39 UTC
97,COC1=C(O)C(O)=CC(=C1)C1=[O+]C2=C(C=CC(O)=C2)C=C1OC1OC(C)C(O)C(O)C1O,Flavonoids,Anthocyanins,Petunidin 3-O-rhamnoside,447.412,C22H23O10,"",2007-03-23 00:00:00 UTC,2015-05-10 23:28:39 UTC
104,OC1=CC(O)=C(C=C1)C(=O)\C=C\C1=CC(O)=C(O)C=C1,Flavonoids,Chalcones,Butein,272.253,C15H12O5,487-52-5,2007-05-21 00:00:00 UTC,2015-05-10 23:28:39 UTC
105,COC1=C(C(=O)\C=C\C2=CC=C(O)C=C2)C(O)=C(CC=C(C)C)C(O)=C1,Flavonoids,Chalcones,Xanthohumol,354.396,C21H22O5,6754-58-1,2007-09-21 16:21:23 UTC,2015-05-10 23:28:39 UTC
108,OC1=CC=C(CCC(=O)C2=C(O)C=C(O)C=C2O)C=C1,Flavonoids,Dihydrochalcones,Phloretin,274.269,C15H14O5,60-82-2,2004-06-18 00:00:00 UTC,2015-05-10 23:28:40 UTC
109,OCC1OC(OC2=CC(O)=CC(O)=C2C(=O)CCC2=CC=C(O)C=C2)C(O)C(O)C1O,Flavonoids,Dihydrochalcones,Phloridzin,436.409,C21H24O10,60-81-1,2002-08-21 09:16:10 UTC,2015-05-10 23:28:40 UTC
